Zeit;Kanal A
(ms);(mV)

-22,22749912;0,55856290
-22,22249912;0,37217020
-22,21749912;0,00000000
-22,21249912;0,00000000
-22,20749912;0,00000000
-22,20249912;0,18577760
-22,19749912;0,00000000
-22,19249912;-0,37217020
-22,18749912;0,00000000
-22,18249912;-0,37217020
-22,17749912;-0,74434050
-22,17249912;-0,74434050
-22,16749912;0,00000000
-22,16249912;-0,37217020
-22,15749912;-1,11712600
-22,15249912;-1,30290300
-22,14749912;-0,18577760
-22,14249912;-0,55856290
-22,13749912;-1,11712600
-22,13249912;-0,74434050
-22,12749912;-1,11712600
-22,12249912;-1,30290300
-22,11749912;-0,74434050
-22,11249912;-0,93073320
-22,10749912;-0,37217020
-22,10249913;-0,18577760
-22,09749913;0,00000000
-22,09249913;-0,37217020
-22,08749913;-1,11712600
-22,08249913;-0,74434050
-22,07749913;-1,11712600
-22,07249913;-0,37217020
-22,06749913;-0,74434050
-22,06249913;-0,37217020
-22,05749913;-0,74434050
-22,05249913;-1,11712600
-22,04749913;-0,93073320
-22,04249913;-1,30290300
-22,03749913;-1,11712600
-22,03249913;-1,30290300
-22,02749913;-2,60642200
-22,02249913;-1,48929600
-22,01749913;-0,18577760
-22,01249913;-1,67568900
-22,00749913;-0,74434050
-22,00249913;-1,30290300
-21,99749913;-0,55856290
-21,99249913;-1,30290300
-21,98749913;-2,04785900
-21,98249913;-0,74434050
-21,97749913;-2,04785900
-21,97249913;-1,48929600
-21,96749913;-1,86146600
-21,96249913;-1,11712600
-21,95749913;-2,04785900
-21,95249913;-1,67568900
-21,94749913;-2,04785900
-21,94249913;-1,48929600
-21,93749913;-1,67568900
-21,93249913;-2,04785900
-21,92749913;-1,67568900
-21,92249913;-2,23425200
-21,91749913;-1,67568900
-21,91249913;-1,30290300
-21,90749913;-2,04785900
-21,90249913;-1,67568900
-21,89749913;-2,23425200
-21,89249913;-2,04785900
-21,88749913;-2,04785900
-21,88249913;-1,86146600
-21,87749913;-1,67568900
-21,87249913;-1,86146600
-21,86749913;-2,04785900
-21,86249913;-1,86146600
-21,85749913;-2,60642200
-21,85249913;-2,04785900
-21,84749913;-1,67568900
-21,84249913;-2,04785900
-21,83749913;-2,04785900
-21,83249913;-1,86146600
-21,82749913;-0,74434050
-21,82249913;-0,93073320
-21,81749913;-1,11712600
-21,81249913;-2,97859200
-21,80749913;-1,67568900
-21,80249913;-1,67568900
-21,79749913;-1,11712600
-21,79249913;-1,86146600
-21,78749913;-2,23425200
-21,78249913;-1,11712600
-21,77749913;-1,48929600
-21,77249913;-1,48929600
-21,76749913;-1,67568900
-21,76249913;-1,67568900
-21,75749913;-0,55856290
-21,75249913;-0,93073320
-21,74749913;-1,11712600
-21,74249913;-0,74434050
-21,73749913;-1,11712600
-21,73249913;-0,74434050
-21,72749913;-1,30290300
-21,72249913;0,00000000
-21,71749913;0,00000000
-21,71249913;-1,30290300
-21,70749914;-0,74434050
-21,70249914;-1,30290300
-21,69749914;-0,74434050
-21,69249914;-1,30290300
-21,68749914;-0,93073320
-21,68249914;-1,30290300
-21,67749914;-1,11712600
-21,67249914;-1,30290300
-21,66749914;-1,11712600
-21,66249914;-1,48929600
-21,65749914;-0,37217020
-21,65249914;-1,11712600
-21,64749914;-1,86146600
-21,64249914;-0,37217020
-21,63749914;-1,11712600
-21,63249914;-1,86146600
-21,62749914;-1,30290300
-21,62249914;-1,11712600
-21,61749914;-0,93073320
-21,61249914;-0,55856290
-21,60749914;-0,18577760
-21,60249914;-1,67568900
-21,59749914;0,18577760
-21,59249914;-0,74434050
-21,58749914;-0,37217020
-21,58249914;-0,18577760
-21,57749914;0,00000000
-21,57249914;0,00000000
-21,56749914;-0,37217020
-21,56249914;0,00000000
-21,55749914;-0,55856290
-21,55249914;-0,18577760
-21,54749914;-1,11712600
